epoch,loss
3,4.8487014794318384e-05
4,4.887801048880647e-05
5,4.185553680713383e-05
6,4.235553149101179e-05
7,4.200227181172522e-05
8,4.5006678647041554e-05
9,3.893315232517125e-05
0,3.9525058241451916e-05
1,2.6944564751829603e-05
2,2.5077580914967257e-05
3,2.4416419705630688e-05
4,2.3721770759266292e-05
5,2.3821916954602784e-05
6,2.217882394006665e-05
7,2.173928672277725e-05
8,2.0951586947148826e-05
9,2.2128052506786844e-05
0,4.9491243203192425e-05
1,4.1572715133497695e-05
2,3.696633172012298e-05
3,3.55994947938143e-05
4,3.3441669415879005e-05
5,3.282923694314377e-05
6,3.1237715944598676e-05
7,3.145650350688811e-05
8,3.0177635693462435e-05
9,2.8590587987764593e-05
0,4.698789501844658e-05
1,4.1676011562685744e-05
2,3.83169012820872e-05
3,3.617872994254867e-05
4,3.4463376124449496e-05
5,3.527468936681544e-05
6,3.377178083496801e-05
7,3.305272718989727e-05
8,3.294064754300052e-05
9,3.8279172201782785e-05
0,2.453477821973138e-05
1,2.2052992818544226e-05
2,2.1733234888188235e-05
3,2.126111031941491e-05
4,2.020461343477109e-05
5,2.0811949866583745e-05
6,2.1457789216583478e-05
7,1.9280649667052785e-05
8,1.9448394652954448e-05
9,2.0628980820447396e-05
0,3.854823211213443e-05
1,3.386959414797275e-05
2,3.089046066406809e-05
3,2.946321814079056e-05
4,3.040177037405556e-05
5,2.6589893877826398e-05
6,2.6801324480629773e-05
7,2.622022080345232e-05
8,2.5589522607560866e-05
9,2.5303796718390004e-05
0,5.7971941316736775e-05
1,4.6639550760119164e-05
2,4.3686826245448174e-05
3,3.7918685450222256e-05
4,3.626225310426889e-05
5,3.628952663348173e-05
6,3.6414821181551815e-05
7,3.555329391247142e-05
8,3.363196134387181e-05
9,3.4353091564298666e-05
0,0.0004734098135941167
1,0.00021854651595276664
2,0.00018051548664743677
3,0.00013795338895761233
4,0.00012302490779347863
5,0.00011723353577508533
6,0.00010533110554433733
7,0.00010336002537769673
8,9.2219060206844e-05
9,0.00010076305420625431
0,0.00010977372483012005
